t = 0.00, x = 10.0095, v = 0.8995
t = 6.07, x = 3.8805, v = 1.7447
t = 6.08, x = 3.8977, v = 1.7043
t = 6.09, x = 3.9146, v = 1.6638
t = 6.10, x = 3.9310, v = 1.6232
t = 6.11, x = 3.9471, v = 1.5825
t = 6.12, x = 3.9627, v = 1.5418
t = 6.13, x = 3.9779, v = 1.5009
t = 6.14, x = 3.9927, v = 1.4600
t = 6.15, x = 4.0071, v = 1.4189
t = 6.16, x = 4.0211, v = 1.3778
t = 6.17, x = 4.0346, v = 1.3366
t = 6.18, x = 4.0478, v = 1.2953
t = 6.19, x = 4.0605, v = 1.2540
t = 6.20, x = 4.0729, v = 1.2125
t = 6.21, x = 4.0848, v = 1.1710
t = 6.22, x = 4.0963, v = 1.1295
t = 6.23, x = 4.1074, v = 1.0878
t = 6.24, x = 4.1181, v = 1.0461
t = 6.25, x = 4.1283, v = 1.0044
t = 6.26, x = 4.1381, v = 0.9626
t = 6.27, x = 4.1476, v = 0.9207
t = 6.28, x = 4.1566, v = 0.8788
t = 6.29, x = 4.1651, v = 0.8368
t = 6.30, x = 4.1733, v = 0.7948
t = 6.31, x = 4.1810, v = 0.7527
t = 6.32, x = 4.1884, v = 0.7106
t = 6.33, x = 4.1952, v = 0.6684
t = 6.34, x = 4.2017, v = 0.6262
t = 6.35, x = 4.2078, v = 0.5840
t = 6.36, x = 4.2134, v = 0.5417
t = 6.37, x = 4.2186, v = 0.4994
t = 6.38, x = 4.2234, v = 0.4571
t = 6.39, x = 4.2277, v = 0.4147
t = 6.40, x = 4.2317, v = 0.3724
t = 6.41, x = 4.2352, v = 0.3300
t = 6.42, x = 4.2383, v = 0.2876
t = 6.43, x = 4.2409, v = 0.2451
t = 6.44, x = 4.2432, v = 0.2027
t = 6.45, x = 4.2450, v = 0.1602
t = 6.46, x = 4.2464, v = 0.1178
t = 6.47, x = 4.2474, v = 0.0753
t = 6.48, x = 4.2479, v = 0.0328
t = 6.49, x = 4.2480, v = -0.0097
t = 6.50, x = 4.2477, v = -0.0522
t = 6.51, x = 4.2470, v = -0.0946
t = 6.52, x = 4.2458, v = -0.1371
t = 6.53, x = 4.2442, v = -0.1795
t = 6.54, x = 4.2422, v = -0.2219
t = 6.55, x = 4.2398, v = -0.2643
t = 6.56, x = 4.2369, v = -0.3067
t = 6.57, x = 4.2337, v = -0.3490
t = 6.58, x = 4.2300, v = -0.3912
t = 6.59, x = 4.2258, v = -0.4334
t = 6.60, x = 4.2213, v = -0.4755
t = 6.61, x = 4.2163, v = -0.5176
t = 6.62, x = 4.2109, v = -0.5596
t = 6.63, x = 4.2051, v = -0.6015
t = 6.64, x = 4.1989, v = -0.6433
t = 6.65, x = 4.1923, v = -0.6851
t = 6.66, x = 4.1852, v = -0.7267
t = 6.67, x = 4.1777, v = -0.7683
t = 6.68, x = 4.1698, v = -0.8097
t = 6.69, x = 4.1615, v = -0.8510
t = 6.70, x = 4.1528, v = -0.8922
t = 6.71, x = 4.1437, v = -0.9333
t = 6.72, x = 4.1341, v = -0.9742
t = 6.73, x = 4.1242, v = -1.0150
t = 6.74, x = 4.1139, v = -1.0556
t = 6.75, x = 4.1031, v = -1.0962
t = 6.76, x = 4.0919, v = -1.1365
t = 6.77, x = 4.0804, v = -1.1767
t = 6.78, x = 4.0684, v = -1.2167
t = 6.79, x = 4.0560, v = -1.2566
t = 6.80, x = 4.0433, v = -1.2963
t = 6.81, x = 4.0301, v = -1.3358
t = 6.82, x = 4.0165, v = -1.3751
t = 6.83, x = 4.0026, v = -1.4142
t = 6.84, x = 3.9883, v = -1.4531
t = 6.85, x = 3.9735, v = -1.4919
t = 6.86, x = 3.9584, v = -1.5304
t = 6.87, x = 3.9429, v = -1.5687
t = 6.88, x = 3.9271, v = -1.6068
t = 6.89, x = 3.9108, v = -1.6446
t = 6.90, x = 3.8942, v = -1.6823
t = 6.91, x = 3.8771, v = -1.7197
t = 6.92, x = 3.8598, v = -1.7569
t = 6.93, x = 3.8420, v = -1.7938
t = 6.94, x = 3.8239, v = -1.8305
t = 6.95, x = 3.8054, v = -1.8669
t = 6.96, x = 3.7865, v = -1.9031
t = 6.97, x = 3.7673, v = -1.9390
t = 6.98, x = 3.7478, v = -1.9747
t = 6.99, x = 3.7278, v = -2.0101
t = 7.00, x = 3.7076, v = -2.0452
t = 7.01, x = 3.6869, v = -2.0801
t = 7.02, x = 3.6660, v = -2.1146
t = 7.03, x = 3.6446, v = -2.1489
t = 7.04, x = 3.6230, v = -2.1829
t = 7.05, x = 3.6010, v = -2.2166
t = 7.06, x = 3.5787, v = -2.2500
t = 7.07, x = 3.5560, v = -2.2831
t = 7.08, x = 3.5330, v = -2.3159
t = 7.09, x = 3.5097, v = -2.3484
t = 7.10, x = 3.4860, v = -2.3806
t = 7.11, x = 3.4621, v = -2.4125
t = 7.12, x = 3.4378, v = -2.4440
t = 7.13, x = 3.4132, v = -2.4752
t = 7.14, x = 3.3883, v = -2.5062
t = 7.15, x = 3.3631, v = -2.5367
t = 7.16, x = 3.3375, v = -2.5670
t = 7.17, x = 3.3117, v = -2.5969
t = 7.18, x = 3.2856, v = -2.6265
t = 7.19, x = 3.2592, v = -2.6557
t = 7.20, x = 3.2325, v = -2.6846
t = 7.21, x = 3.2055, v = -2.7132
t = 7.22, x = 3.1782, v = -2.7414
t = 7.23, x = 3.1507, v = -2.7692
t = 7.24, x = 3.1228, v = -2.7967
t = 7.25, x = 3.0947, v = -2.8238
t = 7.26, x = 3.0664, v = -2.8506
t = 7.27, x = 3.0377, v = -2.8770
t = 7.28, x = 3.0088, v = -2.9031
t = 7.29, x = 2.9797, v = -2.9288
t = 7.30, x = 2.9502, v = -2.9541
t = 7.31, x = 2.9206, v = -2.9791
t = 7.32, x = 2.8907, v = -3.0036
t = 7.33, x = 2.8605, v = -3.0279
t = 7.34, x = 2.8301, v = -3.0517
t = 7.35, x = 2.7995, v = -3.0751
t = 7.36, x = 2.7686, v = -3.0982
t = 7.37, x = 2.7375, v = -3.1209
t = 7.38, x = 2.7062, v = -3.1432
t = 7.39, x = 2.6746, v = -3.1652
t = 7.40, x = 2.6429, v = -3.1867
t = 7.41, x = 2.6109, v = -3.2079
t = 7.42, x = 2.5787, v = -3.2286
t = 7.43, x = 2.5463, v = -3.2490
t = 7.44, x = 2.5137, v = -3.2690
t = 7.45, x = 2.4810, v = -3.2886
t = 7.46, x = 2.4480, v = -3.3078
t = 7.47, x = 2.4148, v = -3.3266
t = 7.48, x = 2.3814, v = -3.3450
t = 7.49, x = 2.3479, v = -3.3631
t = 7.50, x = 2.3142, v = -3.3807
t = 7.51, x = 2.2803, v = -3.3979
t = 7.52, x = 2.2462, v = -3.4147
t = 7.53, x = 2.2120, v = -3.4312
t = 7.54, x = 2.1776, v = -3.4472
t = 7.55, x = 2.1430, v = -3.4628
t = 7.56, x = 2.1083, v = -3.4781
t = 7.57, x = 2.0735, v = -3.4929
t = 7.58, x = 2.0385, v = -3.5073
t = 7.59, x = 2.0033, v = -3.5214
t = 7.60, x = 1.9681, v = -3.5350
t = 7.61, x = 1.9326, v = -3.5482
t = 7.62, x = 1.8971, v = -3.5611
t = 7.63, x = 1.8614, v = -3.5735
t = 7.64, x = 1.8256, v = -3.5855
t = 7.65, x = 1.7897, v = -3.5972
t = 7.66, x = 1.7537, v = -3.6084
t = 7.67, x = 1.7175, v = -3.6192
t = 7.68, x = 1.6813, v = -3.6296
t = 7.69, x = 1.6449, v = -3.6397
t = 7.70, x = 1.6085, v = -3.6493
t = 7.71, x = 1.5720, v = -3.6585
t = 7.72, x = 1.5353, v = -3.6673
t = 7.73, x = 1.4986, v = -3.6758
t = 7.74, x = 1.4618, v = -3.6838
t = 7.75, x = 1.4249, v = -3.6914
t = 7.76, x = 1.3880, v = -3.6987
t = 7.77, x = 1.3510, v = -3.7055
t = 7.78, x = 1.3139, v = -3.7120
t = 7.79, x = 1.2767, v = -3.7180
t = 7.80, x = 1.2395, v = -3.7237
t = 7.81, x = 1.2022, v = -3.7289
t = 7.82, x = 1.1649, v = -3.7338
t = 7.83, x = 1.1276, v = -3.7383
t = 7.84, x = 1.0902, v = -3.7424
t = 7.85, x = 1.0527, v = -3.7461
t = 7.86, x = 1.0152, v = -3.7494
t = 7.87, x = 0.9777, v = -3.7523
t = 7.88, x = 0.9402, v = -3.7549
t = 7.89, x = 0.9026, v = -3.7571
t = 7.90, x = 0.8651, v = -3.7588
t = 7.91, x = 0.8275, v = -3.7602
t = 7.92, x = 0.7899, v = -3.7612
t = 7.93, x = 0.7522, v = -3.7619
t = 7.94, x = 0.7146, v = -3.7621
t = 7.95, x = 0.6770, v = -3.7620
t = 7.96, x = 0.6394, v = -3.7615
t = 7.97, x = 0.6018, v = -3.7607
t = 7.98, x = 0.5642, v = -3.7594
t = 7.99, x = 0.5266, v = -3.7578
t = 8.00, x = 0.4890, v = -3.7558
t = 8.01, x = 0.4515, v = -3.7535
t = 8.02, x = 0.4139, v = -3.7508
t = 8.03, x = 0.3764, v = -3.7477
t = 8.04, x = 0.3390, v = -3.7442
t = 8.05, x = 0.3016, v = -3.7404
t = 8.06, x = 0.2642, v = -3.7363
t = 8.07, x = 0.2268, v = -3.7318
t = 8.08, x = 0.1895, v = -3.7269
t = 8.09, x = 0.1523, v = -3.7217
t = 8.10, x = 0.1151, v = -3.7161
t = 8.11, x = 0.0780, v = -3.7102
t = 8.12, x = 0.0409, v = -3.7039
t = 8.13, x = 0.0039, v = -3.6973
t = 8.14, x = -0.0330, v = -3.6903
t = 8.15, x = -0.0699, v = -3.6830
t = 8.16, x = -0.1067, v = -3.6753
t = 8.17, x = -0.1434, v = -3.6673
t = 8.18, x = -0.1801, v = -3.6590
t = 8.19, x = -0.2166, v = -3.6504
t = 8.20, x = -0.2531, v = -3.6414
t = 8.21, x = -0.2894, v = -3.6320
t = 8.22, x = -0.3257, v = -3.6224
t = 8.23, x = -0.3619, v = -3.6124
t = 8.24, x = -0.3979, v = -3.6021
t = 8.25, x = -0.4339, v = -3.5915
t = 8.26, x = -0.4698, v = -3.5805
t = 8.27, x = -0.5055, v = -3.5692
t = 8.28, x = -0.5412, v = -3.5577
t = 8.29, x = -0.5767, v = -3.5458
t = 8.30, x = -0.6121, v = -3.5336
t = 8.31, x = -0.6474, v = -3.5210
t = 8.32, x = -0.6825, v = -3.5082
t = 8.33, x = -0.7175, v = -3.4951
t = 8.34, x = -0.7524, v = -3.4816
t = 8.35, x = -0.7871, v = -3.4679
t = 8.36, x = -0.8218, v = -3.4539
t = 8.37, x = -0.8562, v = -3.4395
t = 8.38, x = -0.8905, v = -3.4249
t = 8.39, x = -0.9247, v = -3.4100
t = 8.40, x = -0.9587, v = -3.3948
t = 8.41, x = -0.9926, v = -3.3793
t = 8.42, x = -1.0263, v = -3.3635
t = 8.43, x = -1.0599, v = -3.3475
t = 8.44, x = -1.0933, v = -3.3311
t = 8.45, x = -1.1265, v = -3.3145
t = 8.46, x = -1.1596, v = -3.2976
t = 8.47, x = -1.1925, v = -3.2804
t = 8.48, x = -1.2252, v = -3.2630
t = 8.49, x = -1.2577, v = -3.2453
t = 8.50, x = -1.2901, v = -3.2273
t = 8.51, x = -1.3223, v = -3.2091
t = 8.52, x = -1.3543, v = -3.1906
t = 8.53, x = -1.3861, v = -3.1718
t = 8.54, x = -1.4177, v = -3.1528
t = 8.55, x = -1.4491, v = -3.1335
t = 8.56, x = -1.4804, v = -3.1140
t = 8.57, x = -1.5114, v = -3.0942
t = 8.58, x = -1.5423, v = -3.0742
t = 8.59, x = -1.5729, v = -3.0539
t = 8.60, x = -1.6033, v = -3.0334
t = 8.61, x = -1.6336, v = -3.0126
t = 8.62, x = -1.6636, v = -2.9916
t = 8.63, x = -1.6934, v = -2.9704
t = 8.64, x = -1.7230, v = -2.9490
t = 8.65, x = -1.7524, v = -2.9273
t = 8.66, x = -1.7815, v = -2.9053
t = 8.67, x = -1.8105, v = -2.8832
t = 8.68, x = -1.8392, v = -2.8608
t = 8.69, x = -1.8677, v = -2.8382
t = 8.70, x = -1.8960, v = -2.8154
t = 8.71, x = -1.9240, v = -2.7924
t = 8.72, x = -1.9518, v = -2.7691
t = 8.73, x = -1.9794, v = -2.7457
t = 8.74, x = -2.0067, v = -2.7220
t = 8.75, x = -2.0338, v = -2.6981
t = 8.76, x = -2.0607, v = -2.6740
t = 8.77, x = -2.0873, v = -2.6498
t = 8.78, x = -2.1137, v = -2.6253
t = 8.79, x = -2.1398, v = -2.6006
t = 8.80, x = -2.1657, v = -2.5757
t = 8.81, x = -2.1913, v = -2.5506
t = 8.82, x = -2.2167, v = -2.5254
t = 8.83, x = -2.2418, v = -2.4999
t = 8.84, x = -2.2667, v = -2.4743
t = 8.85, x = -2.2913, v = -2.4485
t = 8.86, x = -2.3157, v = -2.4225
t = 8.87, x = -2.3398, v = -2.3963
t = 8.88, x = -2.3636, v = -2.3699
t = 8.89, x = -2.3872, v = -2.3434
t = 8.90, x = -2.4105, v = -2.3167
t = 8.91, x = -2.4335, v = -2.2898
t = 8.92, x = -2.4563, v = -2.2628
t = 8.93, x = -2.4788, v = -2.2356
t = 8.94, x = -2.5010, v = -2.2082
t = 8.95, x = -2.5229, v = -2.1807
t = 8.96, x = -2.5446, v = -2.1530
t = 8.97, x = -2.5660, v = -2.1252
t = 8.98, x = -2.5871, v = -2.0972
t = 8.99, x = -2.6079, v = -2.0690
t = 9.00, x = -2.6285, v = -2.0407
t = 9.01, x = -2.6488, v = -2.0123
t = 9.02, x = -2.6687, v = -1.9837
t = 9.03, x = -2.6884, v = -1.9550
t = 9.04, x = -2.7078, v = -1.9261
t = 9.05, x = -2.7269, v = -1.8971
t = 9.06, x = -2.7458, v = -1.8680
t = 9.07, x = -2.7643, v = -1.8387
t = 9.08, x = -2.7825, v = -1.8093
t = 9.09, x = -2.8005, v = -1.7798
t = 9.10, x = -2.8181, v = -1.7501
t = 9.11, x = -2.8355, v = -1.7204
t = 9.12, x = -2.8525, v = -1.6905
t = 9.13, x = -2.8693, v = -1.6604
t = 9.14, x = -2.8858, v = -1.6303
t = 9.15, x = -2.9019, v = -1.6001
t = 9.16, x = -2.9178, v = -1.5697
t = 9.17, x = -2.9333, v = -1.5393
t = 9.18, x = -2.9485, v = -1.5087
t = 9.19, x = -2.9635, v = -1.4780
t = 9.20, x = -2.9781, v = -1.4472
t = 9.21, x = -2.9924, v = -1.4163
t = 9.22, x = -3.0064, v = -1.3854
t = 9.23, x = -3.0201, v = -1.3543
t = 9.24, x = -3.0335, v = -1.3231
t = 9.25, x = -3.0466, v = -1.2919
t = 9.26, x = -3.0594, v = -1.2605
t = 9.27, x = -3.0718, v = -1.2291
t = 9.28, x = -3.0839, v = -1.1976
t = 9.29, x = -3.0958, v = -1.1660
t = 9.30, x = -3.1073, v = -1.1343
t = 9.31, x = -3.1184, v = -1.1026
t = 9.32, x = -3.1293, v = -1.0707
t = 9.33, x = -3.1399, v = -1.0388
t = 9.34, x = -3.1501, v = -1.0069
t = 9.35, x = -3.1600, v = -0.9748
t = 9.36, x = -3.1696, v = -0.9427
t = 9.37, x = -3.1788, v = -0.9105
t = 9.38, x = -3.1878, v = -0.8783
t = 9.39, x = -3.1964, v = -0.8460
t = 9.40, x = -3.2047, v = -0.8137
t = 9.41, x = -3.2127, v = -0.7812
t = 9.42, x = -3.2203, v = -0.7488
t = 9.43, x = -3.2277, v = -0.7163
t = 9.44, x = -3.2347, v = -0.6837
t = 9.45, x = -3.2413, v = -0.6511
t = 9.46, x = -3.2477, v = -0.6185
t = 9.47, x = -3.2537, v = -0.5858
t = 9.48, x = -3.2594, v = -0.5531
t = 9.49, x = -3.2648, v = -0.5203
t = 9.50, x = -3.2698, v = -0.4875
t = 9.51, x = -3.2745, v = -0.4547
t = 9.52, x = -3.2789, v = -0.4218
t = 9.53, x = -3.2830, v = -0.3889
t = 9.54, x = -3.2867, v = -0.3560
t = 9.55, x = -3.2901, v = -0.3230
t = 9.56, x = -3.2931, v = -0.2901
t = 9.57, x = -3.2959, v = -0.2571
t = 9.58, x = -3.2983, v = -0.2241
t = 9.59, x = -3.3004, v = -0.1911
t = 9.60, x = -3.3021, v = -0.1580
t = 9.61, x = -3.3035, v = -0.1250
t = 9.62, x = -3.3046, v = -0.0920
t = 9.63, x = -3.3054, v = -0.0589
t = 9.64, x = -3.3058, v = -0.0258
t = 9.65, x = -3.3059, v = 0.0072
t = 9.66, x = -3.3056, v = 0.0403
t = 9.67, x = -3.3051, v = 0.0733
t = 9.68, x = -3.3042, v = 0.1064
t = 9.69, x = -3.3029, v = 0.1394
t = 9.70, x = -3.3014, v = 0.1724
t = 9.71, x = -3.2995, v = 0.2054
t = 9.72, x = -3.2973, v = 0.2384
t = 9.73, x = -3.2947, v = 0.2713
t = 9.74, x = -3.2918, v = 0.3042
t = 9.75, x = -3.2886, v = 0.3370
t = 9.76, x = -3.2851, v = 0.3698
t = 9.77, x = -3.2812, v = 0.4026
t = 9.78, x = -3.2771, v = 0.4353
t = 9.79, x = -3.2725, v = 0.4679
t = 9.80, x = -3.2677, v = 0.5005
t = 9.81, x = -3.2625, v = 0.5330
t = 9.82, x = -3.2570, v = 0.5655
t = 9.83, x = -3.2512, v = 0.5979
t = 9.84, x = -3.2451, v = 0.6302
t = 9.85, x = -3.2386, v = 0.6624
t = 9.86, x = -3.2318, v = 0.6945
t = 9.87, x = -3.2247, v = 0.7265
t = 9.88, x = -3.2173, v = 0.7585
t = 9.89, x = -3.2096, v = 0.7903
t = 9.90, x = -3.2015, v = 0.8220
t = 9.91, x = -3.1931, v = 0.8536
t = 9.92, x = -3.1844, v = 0.8852
t = 9.93, x = -3.1754, v = 0.9166
t = 9.94, x = -3.1661, v = 0.9478
t = 9.95, x = -3.1565, v = 0.9790
t = 9.96, x = -3.1465, v = 1.0100
t = 9.97, x = -3.1363, v = 1.0409
t = 9.98, x = -3.1257, v = 1.0716
t = 9.99, x = -3.1148, v = 1.1023
